movie_id,title,genre,release_year
mov_001,Parasite,"Thriller, Drama, Comedy",2019
mov_002,Mulholland Drive,"Mystery, Thriller, Drama",2001
mov_003,No Country for Old Men,"Crime, Drama, Thriller",2007
mov_004,There Will Be Blood,"Drama, History",2007
mov_005,Interstellar,"Sci-Fi, Adventure, Drama",2014
mov_006,The Dark Knight,"Action, Crime, Drama, Thriller",2008
mov_007,Mad Max: Fury Road,"Action, Adventure, Sci-Fi, Thriller",2015
mov_008,Spirited Away,"Animation, Adventure, Fantasy, Family",2001
mov_009,Eternal Sunshine of the Spotless Mind,"Romance, Sci-Fi, Drama",2004
mov_010,The Social Network,"Biography, Drama",2010
mov_011,Inglourious Basterds,"War, Action, Drama, Adventure",2009
mov_012,In the Mood for Love,"Romance, Drama",2000
mov_013,Everything Everywhere All at Once,"Action, Adventure, Comedy, Sci-Fi",2022
mov_014,The LotR: The Fellowship of the Ring,"Fantasy, Adventure, Action, Drama",2001
mov_015,The LotR: The Return of the King,"Fantasy, Adventure, Action, Drama",2003
mov_016,La La Land,"Musical, Romance, Drama, Comedy",2016
mov_017,Get Out,"Horror, Mystery, Thriller",2017
mov_018,Moonlight,"Drama, Romance",2016
mov_019,Whiplash,"Drama, Music",2014
mov_020,Arrival,"Sci-Fi, Drama, Mystery",2016
mov_021,Children of Men,"Sci-Fi, Thriller, Drama, Adventure",2006
mov_022,The Grand Budapest Hotel,"Comedy, Adventure, Crime",2014
mov_023,Oppenheimer,"Biography, History, Drama",2023
mov_024,Inception,"Sci-Fi, Action, Adventure, Thriller",2010
mov_025,The Departed,"Crime, Drama, Thriller",2006
mov_026,Portrait of a Lady on Fire,"Romance, Drama, History",2019
mov_027,Dune: Part Two,"Sci-Fi, Adventure, Action, Drama",2024
mov_028,The Royal Tenenbaums,"Comedy, Drama",2001
mov_029,Once Upon a Time… in Hollywood,"Comedy, Drama",2019
mov_030,Brokeback Mountain,"Romance, Drama, Western",2005
